Which type of organization do you work for?
Government
Business
College
Student
Student
Independent
None
Self
Government
N/A
Government
Student
Student
STUDENT
Business
Government
Business
Student
Private
Private
Private
Private
Private
Business
Business
Private
Government
Business
Private
Government
Student
Private
Private
Private
Private
Private
Private
Business
Agriculture
Government
Unemployed
Student
Private
Not working
Government
Private
Student IIM Kashipur
NA
Government
Private
Government
Private
Private
NA
Private
Private
Student
Private
Business
None
Private
Private
Educational institution
Government
Private
Housewife 
Private
Not working
Government
Government
Student 
Private
Government
Government
Government
Student
Private
Business
Student
Government
Government
College
Private
Private
Business
Student
College
Business
Business
Private
Private
Private
Private
Student
Student
Not working
Private
Private
Private
Business
Student
Student
Private
Government
Government
Private
Government
Students
Student
Government
Government
Private
Private
Studying
Private
Business
Private
Student
Private
Private
Private
Student
Private
Student
Student 
None
Business
Private
Private
Business
Private
Government
Private
Student
None
Government
Private
Private
Business
Business
Not working currently
Studying
Private
Private
Business
Student
Still a student
student
Private
Student
Private
Business
Student
Private
Government
NA
student
Private
Government
Private
Private
Student
Private
Private
Student
student
Student
No
College
Government
Private
Student
Private
Private
Private
Business
Private
Private
Business
Private
Student
Private
Private
Private
Student
Private
Private
Private
Private
Business
Private
Business
Business
Private
Private
Private
Student
Student
Private
Private
Student
Private
Student
Business
Student
Studying 
No job yet 
Private
Business
Business
Private
Business
Student
Private
Private
Not yet working
Student
Student
Student 
Private
Private
Business
Private
Private
School
Private
Student
Private
Private
I don't work I study
Private
Government
Student
Business
Private
Private
Business
Student
Private
Student 
Student
Student
Private
Business
Student
Student
Business
Private
Private
None
Business
Business
Student
Student
Government
Private
Government
Government
Business
Private
Student
College 
Private
Student 
Business
Private
I am a student
Private
Private
Unemployed
Government
Self buissness
Student
Private
Private
College 
Government
Government
Student
Private
Private
Business
Student 
Government
Private
Business
Private
Student 
Private
Private
Government
Private
Startup
Private
Government
Government
Private
Business
Government
Business
Government
Business
Government
Private
Private
Student
Business
Private
Government
Government
Business
Government
Private
Studying
Private
Private
Government
Private
Private
Private
Private
Private
Private
Still studying
Studying
Private
Private
Private
Private
Private
Business
Private
Private
Private
Student
Private
Private
Student
Business
Business
Private
Friend
Private
Student
Student
Private
Student
Government
College
Business
Private
Government
Student
college student 
Student
I am a student
Student
Student
Have shop
Private
Business
Private
Business
Government
Business
Government
None
Private
College 
retired
Business
Private
Private
Government
Private
Student
Student
Student
Student
students
Student
Srudent
Student
Student
Student
Student
Student
Student
Private
Student
Business
Private
Student 
Private
Private
Private
Student
Private
Private
Private
Business
Study 
Student
Private
Government
Private
Student 
Private
Private
Business
Farmer
Private
Private
Private
I'm a student
Government
Private
Private
Private
Private
Private
Business
Business
Private
Private
Unployed
Student
Private
Government
Government
Government
Government
Private
Private
Private
Government
Private
Private
Private
Private
Private
Private
student
Government
Private
Private
Business
Business
Private
Government
Business
Business
Student
Student
Business
Private
Student
Student
Private
Private
No one
Private
Student
Student
Student
Private
Government
Student
Private
NA
NA
Business
Student
Private
Private
Student
Private
Private
Business
Government
Private
Business
Business
Student
NA
Business
Business
Private
Private
Government
Private
Private
None
Government
Government
Government
College
Private
Government
Private
Studying
Government
Government
Private
Student
Private
Business
Private
Student 
Private
Government
Private
Private
Business
Private
Private
Private
Private
Business
Government
Government
Business
Government
Government
Business
Government
Private
Private
Private
student
Private
Student
Private
College
Government
Private
Don’t work in any organisation 
Private
Business
Student 
None 
Artist
Business
I
None
House wife
Business
Student
Student
Student
Government
Private
Private
Business
Housewife 
Government
Education
Government
Student
Not working
Private
Business
Business
Business
Private
Private
Government
Government
Government
Private
Business
Business
Student
Students
Private
No work
Government
Business
Business
Government
Not working
Business
Private
Student
Business
Private
Business
Private
Private
Private
Government
None
No organisation
Business
Freelancer
Private
Government
Kotha
Private
Private
Private
Private
Private
Private
Government
Government
Private
Business
Student
Government
Private
Still a student
Students 
Private
Private
Private
Private
Student 
Government
Private
Private
Student
Government
Private
Private
Government
Government
Private
Government
Business
Private
Private
Private
Private
Private
Student 
Government
Private
Government
Government
Government
Private
Government
Government
Government
Private
Private
Business
Business
shop
Private
study
Business
Private
Private
Private
Study
Private
Private
Private
Business
Private
Private
Business
Government
Government
Student
Job
Private
Private
Private
Private
Private
Private
Private
Private
Business
Government
Private
Private
Private
Private
Student
Private
Government
Private
Private
Private
Business
Nothing
Business
Private
Student
Private
Private
Business
Private
Government
Not working
Private
Government
Private
Private
Private
Government
Private
Business
Business
Government
Government
Private
Private
Student
Private
Private
Private
Private
Private
Private
Private
Government
Government
Business
Business
Government
Study 
Private
Private
Student 
student
Student
Private
Private
Private
Student
Private
Private
Business
Government
Business
Student
Student 
Private
Student
Government
Private
Student
Study
Private
Private
Private
Private
Student
Private
Government
Student 
Student
Private
Not working
Private
Private
Private
Private
Private
Business
Private
Private
Private
Private
Private
Private
Student
Private
I am not working currently.
Private
Government
Private
Private
Student
Private
Student
Student
Student
Private
Government
I'm a student 
student
Private
Private
Private
Private
Nothing
Private
Business
Private
Not working
Private
Private
Private
Private
Unemployed
Government
Student
Business
Student 
Private
Government
Student
Business
Private
Private
Private
Private
Tution teacher
Student
Private
Private
Business
Student
Business
I don't work
Private
Private
Government
Private
Private
Private
Business
Private
Business
Private
Private
Private
Private
Private
Private
Private
Private
Private
Private
Private
Student
Private
Deemed University
Private
Private
Private
Government
Student
Private
Student
I am student 
Private
Private
Private
Unemployed
Government
Business
I dont work
Business
Private
Private
Private
Business
Private
Private
house wife
Student
Business
Business
Private
student
Student
None
Government
I am a student
Private
Business
Private
Student
Private
Government
Student
Private
Private
Private
Private
Own business
Private
Private
Business
Private
Government
Freelancer
Private
Student
student
Private
Private
Private
Private
Private
Private
Business
Private
Student
Private
Business
Private
Not working
Government
Private
I am a Student
Government
Business
Student 
Government
Private
Government
Berozgaaar
Business
Private
Private
Private
Government
Private
Private
Private
Student
Private
Government
College
Student
Government
Private
Student
Student
Business
Private
Student
Government
Private
Private
Private
Business
Private
NA
Private
Student
Government
Government
Private
Private
Private
Government
Government
Private
Private
NA
Student
Business
Private
Government
Business
Government
Student
Private
Government
Student
Private
Private
Private
Business
Private
Student
Private
Private
Student
Private
Business
College
Private
Government
Government
Private
Private
(student)
Student
Private
NA
Private
Private
Student
Business
Student
Business
Im a student
Student
Home tuitor
Private
Private
Student
Student
Home maker
Student
NA
Private
Private
Business
Business
Private
Private
Business
Student
Private
Student
Private
None
Student
Government
Business
Private
Government
Government
Government
Private
Business
Retired
Business
Government
Private
Private
Student
Private
Business
Private
Student
Private
Private
Private
Government
Private
Private
Private
Business
Private
Private
Business
Student
Private
Student
XIMB
Student
Private
Retired from Reserve Bank of India
Business
Student
Private
Student
Private
Student
Student
Private
Government
Government
Student
Business
Private
Student
Student
Private
Private
Retired from Reliance Industries
Student 
Government
None
Student
Private
MBA student 
Private
Private
Self Business
Student
Government
Student 
Private
Private
Student 
Private
Student
Student
None
Private
Private
Government
Private
Student
Private
Private
Private
IIT Bombay
Private
Private
Government
Private
Private
Private
Private
Private
Government
Student
Private
Student
Private
Business
Private
Government
Student
Private
Private
NGO
Private
Private
Business
Business
Na
Private
Student
Private
Private
Private
Government
Government
None
Private
Business
Private
Student 
Student
Private
Not working
Government
Student
Government
Business
Student 
Government
Private
Private
Student
Business
Private
Private
Private
Student
Business
Private
Student
Private
Home maker
Private
Government
Private
Business
Private
Student
Government
Business
Business
Student
Private
Student
Business
Private
Business
Private
None
Private
Business
Government
Private
Private
Business
Private
Private
Student
Private
Private
Private
Business
Private
Student
student
Private
Student
Government
Homemaker
Private
Business
Student
Student
Business
Institute
Private
Student
Student
Private
Student
Government
Student
Unemployed
Private
NA
Student
Private
Government
Private
Private
Student
Student
Private
Private
Government
Business
Private
Business
Private
Self Employed
Private
Private
Government
Government
Business
Private
Private
Private
Private
Business

Not working
Private
Educational
Private
Student
Government
Government
Student
Private
Intermediate
Private
Private
Business
Private
Business
Insurance 
Student
Private
Private
Private
Student
Business
Government
Student 
I am not working still studying 
Private
Private
Student
Student
Business
Government
Private
Private
Business
Private
None
House wj
NA
Private
Public limited company
Private
Private
Business
None
Student
Private
Private
Student
Private
I am a student
Private
Private
Unemployed
Government
Business
No organization 
Private
Private
Private
Currently not employed
Student
Private
Private
Student
Private
Government
Private
Private
Private
Student
Private
Private
Private
Business
Private
Private
Business
Private
Private
Private
Private
Government
Government
Private
Government
Private
Private
Private
Private
Private
Private
Government
Private
Private
Private
Government
Private
Private
Private
Private
Government
Business
Private
Private
Private
I am student 
Private
Private
Private
Private
Student
Business
Business
Private
Private
Private
Private
Student
Business
Business
LBSIM
Private
Private
Private
Government
Government
Business
Government
Private
Government
Government
Private
Business
Private
Private
Private
Business
Private
Not Working
Private
I don't :)
None
Private
Student
Government
Government
School
Private
Private
Private
Government
Government
Government
Private
Private
Government
Business
Private
Business
Government
Private
Private
Private
Student 
Student 
Business
Business
Private
Self
Private
Private
Government
Government
Business
Private
IIM Calcutta
Private
Student
Private
Private
Student
Student
Private
Student
Student
Student
College
Student 
Student
Private
Not working
Private
Business
Student
Private
Private
Private
Private
Private
Private
Student
Private
Private
Private
Self-employed
NA
Private
Private
Private
Private
Student
Student
Private
Government
Private
Housewife 
Private
Business
Private
Business
Private
student
Government
Government
Business
Studying 
Government
na
NA
Student
Student
Na
Government
Self employed
Student
Homemaker
Student
Business
Private
Student 
Student 
Student
Private
Private
Business
Private
Private
Housewife
Private
NA
Private
Student
Private
Business
Business
Private
Private
Private
Private
Private
Government
Government
Private
Private
university 
Student 
Private
Private
Housewife
Private
Private
Student
Government
Student
Private
Student
Government
Private
Student
Private
Government
Private
NA
Private
NA
Student
Currently studying
Private
Private
Private
Private
Private
Business
Private
Student
Still studying
Private
Business
Private
Government
Na
Student
Private
Private
Private
Private
Government
Private
Private
Private
Private
Government
Business
Private
Private
Business
Student
marine
Business
Housemaker
Student
Private
Private
Business
Formerly in a private
DtidrntStudent
Business
Private
Private
Home maker
Ambedkar Uni  Delhi
Government
Private
Private
STUDENT
Student
Student 
Student
Student
Private
Private
Private
Private
Private
Private
Government
Private
College
Government
Private
none
Student 
Business
Private
Private
Private
Private
Private
Private
Private
Business
Student
Student
I'm a student
Private
Government
Student
No one
Business
Private
Government
Government
Business
Private
Business
Business
Private
Business
Private
Private
Business
Private
Government
Private
Private
Student
Student
Student
Business
Private
Business
Private
Private
Private
Business
Private
Private
Studying
Student
Private
Business
Student
Private
Government
None
Private
Private
Private
Private
Private
Private
Private
Private
Private
Student
Private
Student
None
Government
Private
Private
Private
Student 
Homemaker
Student 
Private
Private
Private
Private
Private
Not workimg yet
Private
Private
Student
Private
Private
Government
Private
Private
Business
Private
Yet to join private
Private
Private
Student 
Private
Private
Private
Business
Not working
Private
Business
Home maket
Government
Private
Private
Private
I am a student
Student
Government
Business
Student
Private
Private
Private
Student
Business
Business
Private
Business
Government
Private
Private
Private
Government
Private
Student 
Business
Business
Student
Private
Private
Private
Private
Government
Private
Government
Private
Private
Private
Government
Private
Private
Private
Private
Government
Private
Private
Private
Government
Government
-
Private
Private
Government
Student
Private
Government
Student
Private
Government
Private
Preparing for competitive exams
Business
Private
Student 
Student
Government
None
Private
Jobless
-
Government
Semi government
Private
Government
Private
Government
Private
Mba 
Business
Private
Government
Government
Private
Private
Private
Private
Student
Private
Private
Government
Private
Student 
Private
Private
Student
Private
Private
Private
NA
Government
Student
Crony Capitalism
Government
Public Sector Undertaking
Unemployed
Private
MNC
Private
Government
Government
Private
Student
Government
Business
Private
Private
Nil
Government
Student 
Student 
Private
Private
public sector
Student
Private
student
Private
Government
Business
Private
Business
Government
Housewife
XIMB
Government
Private
Student
Private
Government
Student
Educational
Private
Student
Student
Private
Business
Private
Home maker
Student
Government
XIMB
Private
Private
Private
Student
Private
Private
PSU
Private
Private
Private
Government
Private
Government
Student
Private
Government
Private
Private
Student
Private
Government
Student
Private
Private
Private
Private
Business
Business
Private
NA
Government
Private
Private
N.A.
College student
Student 
Not working currently 
Private
Private
Business
Private
Government
Government
Student
Government
Private
Government
Private
Psu
Private
Private
Business
Business
Private
Student
Business
Private
Private
Government
Private
Private
Private
Government
Government
Government
Student
NA
Private
Private
Private
Private
Private
Student 
Private
Private
Private
Business
Business
Government
Private
Private
Private
Not working
Private
Government
Student
Student
PSU
Government
Student 
Private
Business
Business
Student
Student
Government
Private
Government
Currently not working
Business
Government
Student
Government
Studying
Private
Government
Private
Government
Private
Private
Private
Private
Studnet
Private
Government
Private
NA
Private
Private
Private
Unemployed
Private
Private
Private
Government
Private
Private
Student 
Government
Student
Private
Private
Private
Government
Government
Business
Business
Student
Private
Private
Home maker
Private
Student
Private
Government
Student
Currently not working
Private
Private
Private
Private
Government
Government
Private
Government
Private
Private
Government
Government
Government
Government
Government
Private
Government
Government
Government
Government
Student
Government
Studying
Government
Private
Government
Studying 
Study 
Private
Government
Business
XIMB 
Student
Student
Government
Government
Business
Not working. I am a student
Institute
Government
Psu
NA
None
Private
None
Student
Private
None
Government
None
Private
Student
Student
Student
Student
Student
Student
Government
Government
HomeMaker
Private
Private
Private
studying
Private
Government
Private
Student
Government
None
Student
Student
Private
Government
Government
Private
Student
Private
Student
Pvt
Private
Informal
Student
Private
Student 
Student
Business
Private
Business
Government
Student
XIMB
Student
Student
None
Private
Private
Private
Student
Student 
Private
Private
Private
Government
Private
Studying
Private
Private
Private
Private
Business
Government
Private
Student
Student
Student
Private
Studying management
Private
Government
Student
Private
Private
Private
Private
Private
Private
Private
Na
Private
Private
Unemployed
Student
Student 
NA
Private
Business
Private
Private
Private
Private
Student
Business
Student
Student
Student
Student
Student
Student
Private
Business
Private
Student
Private
Business
Government
Private
Private
Private
Government
Government
Private
Private
Government
Private
Higher study
House wife
Private
Private
Government
Masters in technology 
Private
Student
student
Business
Government
NA
Private
Private
Private
Government
Private
Private
Business
Business
Business
None
Private
NA
Business
Government
Business
Government
Government
Private
Business
Business
Government
Husband's CA firm
Business
Government
Self employed
NA
Government
Student 
student

Student
Private
Coaching 
Private
Student
Private
Private
Private
Student
Student
Government
Private
Government
Government
Private
Business
Student
Government
Private
Student
College
Private
Government
Private
Private
Private
Private
Government
Private
Private
Private
Private
Business
Private
Government
Private
Study
Student
Private
Government
Government
Government
Student
Private
Student
Student
Private
Private
Government
Government
Business
Private
Government
Private
Private
Private
Private
Private
Business
Private
Student
Private
Student
Private
Student
Business
Student
Student
Private
Private
I am not working yet
Student
Private
Business
Business
Not Working
Private
Private
Student
Private
Private
Government
Private
Student
Private
Private
Private
Private
Private
Private
Government
Government
Private
Private
Private
Government
Private
Private
Private
student
Private
Government
Student
Private
Business
Government
Business
student
Private
Business
Government
Private
Business
Student
Student
Not working 
Private
Student
Student 
Private
Private
Private
Government
Private
Private
Lawyer
Private
Private
Student
Student
Business
Jobless
Private
Private
Preparing for civil services
Private
Private
Government
Business
Business
Unemployed 
Student 
Private
Student
Private
Student
Student
None 
Unemployed
Student
Private
Private
Business
Government
Private
Private
Student
Student
Government
Student
Student
Private
Student
Liberation army
Student
Private
Private
Private
Student
jobless
Student
Student
Student
Student
Private
Private
Government
Private
Government
Studying
Private
Private
Private
Private
Private
Private
Business
Business
Business
Private
Private
Private
Government
Private
Student
Private
Student
Student
None
Business
Private
BDS student
Business
Private
Business
Student
Business
Business
Nill
Private
Private
Student
Student
Private
Government
Government
Government
Student
Student
Private
Government
Business
Business
Business
Private
Student
Private
Student
STUDENT
Private
Government
Student
Private
Private
Business
Private
Private
Government
Student
Private
Government
Business
Government
Private
Government
Student
Private
Private
Student 
Private
Business
Student
Government
Private
Business
Private
Private
Private
Government
Government
Government
Iam studying
Private
Studies
Private
Private
Private
Government
Private
Private
Student
Government
Private
Private
students
Business
Student
Private
Government
Private
Government
Government
Private
Business
Private
Student
Private
Student
Student
Private
Government
Private
Private
Private
Private
Private
Private
Private
Government
Private
Private
Private
Government
Private
Student
Government
Private
Business
Student
Student
Private
Government
Business
Private
Business
Private
Student
Studying 
Private
Private
Government
Private
Government
Business
Private
No occupation
Business
Business
Business
Student
Government
Government
Private
College.
Private
Government
NA
Business
Business
Business
Unemployed/Student
Government
Private
Student
Student
Private
Private
Government
Government
Business
Government
Not yet
Private
Student
Government
Student
Private
Government
Business
Government
Private
Private
Private
Still Looking for job.
Private
Business
Private
Private
Government
Private
Private
Private
Private
student
Private
Study
Student
Business
Private
Private
Business
Student.
NA
Government
Government
Students 
Private
Business
Private
Business
Government
Business
Private
Government
Private
Government
Government
Government
Business
Student 
Government
Private
Private
Private
Student
Student 
Private
Student
Government
Government
Government
Private
Student 
Student
Private
Business
Private
Private
Private
Government
Student
Private
Student
Student
Student
Government
Government
Student
Private
Student
Private
Student
Private
Private
Business
Private
Private
Student
College student
Student
Government
Completing graduation
Private
I am a student not working yet 
Student
Government
Private
Institute 
Business
IIM Indore
Student
Government
Private
Student
Private
NA
Business
Private
Student 
Government
Private
Don't work
Government
Business
Business
Private
Government
Business
Private
Business
Private
Private
Private
NA
Business
Private
Private
Business
Unemployed
Private
Government
Private
Private
Private
Student
Government
Private
Student 
Government
College student
Private
Student
Private
Private
Student
A student
Business
Private
Private
Student
Private
Private
Private
Student
Student
Private
Private
Student
Business
Private
Student 
Private
Student 
Business
Private
Private
Student
Student
Student
Private
Business
.
Private
Government
Private
None
Private
Business
Business
Private
Business
Government
Student 
Government
Student 
Private
I am a student
I am a student
Student
Business
Private
Private
Private
Student
Private
Student
Student
Private
Private
Business
Student
Private
Business
Student
Student
Private
Student
Private
Student
Student
Student
Private
Private
Government
Not working yet
Business
Private
Student
College
Private
Business
Private
Private
Student 
Private
Student
Government
Private
College 
Private
Post graduate student
Government
Private
Government
Business
Private
Student
Business
Business
Government
Agriculture
Government
Private
Student
Student
Business
Private
Private
Government
Private
Business
Student
Unemployed 
Private
None
student
Seeking for job iam a fresher
Business
Student
Student
Business
Business
Government
Business
Business
NA
Private
Student  not working
Student
Student
Government
stuedent
Private
Private
NA
Private
Private
Private
Private
Student
Student
Student
Student
Private
Private
Student
Student
Government
Private
Private
Private
Private
Private
Student
Private
Private
Government
House maker
Student
Government
Private
None
Student
Private
Business
Government
Government
Business
Government
Business
Business
Business
Private
Government
Student
Government
Government
Student
Government
Government
Government
Government
Government
Government
Government
Private
Private
Private
Student
Business
Government
As a student
Student
Private
Student
Private
Private
Private
Government
Government
Student
Government
Student
None 
Private
Private
Private
SELF Employed 
Private
Private
I don't work
Private
Private
Still a student
Private
None
Government
Government
Government
Studying
Private
Private
Private
Private
Student
Business
N.a
Student
Private
Public
Government
None
Government
Preparing for exam
Business
Private
Student
Private
Private
Private
Government
Private
Private
Private
Student
Private
Private
Private
Business
Private
Government
Nil
Private
Government
Private
Private
Not working
Private
Student
Private
Private
Private
Business
Student
Student
Government
Government
Government
Government
Private
Private
IIM
NA
Private
PSU
Private
Private
Private
Private
Private
Business
Government
Government
Government
Private
Private
Private
Private
Government
Government
Government
Private
Student
Private
Government
Student
Currently not working
Government
Government
Private
Government
Private
Private
Student
Private
Private
Private
Private
Government
Government
Private
Government
Government
Private
none
Government
Government
Government
Government
Business
Private
Private
Government
Government
Private
Private
Business
Private
Student
Business
Government
Government
Private
Private
Government
Private
Private
Private
Private
Private
Not working
Private
Private
Government
None
Private
Business
Government
Private
Private
Private
none
Student
Private
Private
Student
Private
Private
Private
Student
Business
Private
Student
Private
Private
Private
Private
Student
Student
Private
Private
Private
Government
Student
Private
Government
Government
Private
Private
No work
Private
Government
Private
Private
Government
Private
Private
Student
Government
Private
Private
Student
Government
Private
Private
Business
Student
Student
Study
Private
Student 
Private
Government
Business
Business
Private
Private
Private
Private
Private
Private
Business
Student
Private
Private
Government
Business
Government
Student
Private
Student
Business
Private
Student 
Private
Business
Not employed
Business
Government
Private
Not yet employed
Student
Business
Private
Student
Private
Student
Business
Business
Private
Government
Private
Government
Private
Government
Private
Government
Private
Private
Government
Private
Student
Government
Student
Business
Government
Business
Private
Private
Private
Private
I'm student
Private
Business
Not yet working
Business
Voluntary service in Welfare organisation
Private
Business
Business
Business
Government
Student
Business
Private
Private
Student
Student
Student
Business
Government
Business
Private
Private
Currently a student 
Student
Private
Student
Government
Private
Student
NA
Don't work
Student
Private
Private
Government
Business
Private
Private
Business
Private
Studying 
Student
Business
Student
Government
Business
Business
Government
Government
Private
Government
Private
Student 
Business
Private
Home maker
Private
Business
Business
Private
Student
Private
Student 
Government
Government
Private
Student 
Private
Student 
Government
none
Student
Government
Private
Government
Student
Private
Private
School
Private
Business
Business
Private
Private
Student
Autonomous public institute
Government
Private
Private
Government
Private
Private
Private
Business
Business
Private
Government
None
Student
Private
Government
Business
Government
Student
Private
Student
Student
Student
Student
Student
Currently student
Student
Business
Student
Student
Educational Institute
Private
Business
Business
Government
Teacher
Student
Private
Student
Business
Student
Student
Government
Business
Business
Private
Student
Private
Government
Private
Government
Government
Government
Government
