Age,Monthy Earnings,Gender,Home Loan ,How much aware are you about solar?,How much do you expect to at least save on your average electricity bill by installing a solar panel system?,Marital Status,Rooms,New Floor,Budget,Percentage of roof dedicated,Workplace,Would you like to go for solar,Which city is your house at?
0,1,1,No,5,41% - 50%,0,4,0,3,0,0,3,38
0,1,2,No,4,31% - 40%,2,4,0,0,0,1,3,41
0,3,1,No,2,21% - 30%,2,4,0,0,0,0,0,41
2,1,2,No,3,31% - 40%,1,3,0,0,0,0,3,41
0,1,1,No,3,41% - 50%,2,1,0,0,2,2,2,38
0,2,2,No,5,31% - 40%,2,4,0,0,1,1,0,38
2,1,1,Yes,4,31% - 40%,1,4,0,0,0,3,0,38
0,0,2,No,1,31% - 40%,2,4,0,0,1,3,0,13
0,2,1,No,3,31% - 40%,2,4,0,0,1,3,2,41
2,2,2,No,3,21% - 30%,1,1,0,1,1,1,2,33
1,1,1,Yes,1,10% - 20%,1,2,0,0,0,1,0,39
0,1,1,Yes,3,21% - 30%,2,2,0,0,1,1,0,7
0,1,2,Yes,1,21% - 30%,2,2,1,0,1,3,0,33
1,1,1,Yes,3,31% - 40%,2,1,1,0,1,1,0,38
1,1,1,Yes,3,21% - 30%,2,2,1,0,1,1,0,10
0,1,1,No,4,41% - 50%,2,1,0,0,1,1,0,33
1,1,1,Yes,3,21% - 30%,1,2,1,1,2,3,0,5
2,1,1,Yes,4,21% - 30%,1,1,0,0,0,3,0,5
0,0,1,No,3,10% - 20%,2,2,0,0,0,1,0,7
1,1,1,Yes,1,21% - 30%,1,1,1,0,1,3,0,38
0,0,1,Yes,2,31% - 40%,2,1,1,0,1,2,2,7
1,0,1,Yes,2,21% - 30%,1,2,0,0,1,2,0,7
2,1,1,Yes,1,21% - 30%,1,2,0,0,2,2,0,33
1,1,2,Yes,5,31% - 40%,2,1,0,0,1,1,0,Itawa
1,0,1,Yes,5,21% - 30%,2,1,1,1,1,1,0,7
1,1,1,Yes,5,21% - 30%,1,2,1,1,1,1,0,Pipleda
